Date,Open,High,Low,Close,Adj Close,Volume
2022-07-01,69.68,70.83,68.66,70.23,68.81,7838854.0
2022-07-04,70.19,71.51,69.48,69.79,68.38,2529165.0
2022-07-05,69.51,70.0,67.93,69.66,68.25,11473504.0
2022-07-06,69.27,70.87,68.61,68.83,67.45,7774514.0
2022-07-07,68.84,69.73,68.66,68.9,67.51,8896357.0
2022-07-08,68.5,68.94,67.62,68.55,67.18,10092454.0
2022-07-11,68.69,69.75,68.02,69.05,67.67,5430191.0
2022-07-12,68.98,70.48,68.98,70.36,68.94,7770482.0
2022-07-13,69.91,73.41,69.11,72.93,71.46,24125095.0
2022-07-14,72.73,72.73,70.62,71.3,69.86,14247733.0
2022-07-15,71.23,72.94,70.58,72.72,71.25,7564947.0
2022-07-18,73.18,73.65,71.37,71.69,70.24,7061071.0
2022-07-19,71.9,72.3,70.09,70.93,69.5,6677929.0
2022-07-20,71.32,71.73,70.58,71.29,69.85,5807614.0
2022-07-21,71.63,73.0,71.02,72.59,71.14,7703422.0
2022-07-22,72.93,73.5,71.87,73.27,71.8,7224359.0
2022-07-25,73.08,73.58,71.58,71.86,70.41,12729542.0
2022-07-26,71.61,71.86,68.82,70.76,69.33,21607650.0
2022-07-27,70.8,72.59,70.01,71.45,70.02,16587315.0
2022-07-28,71.32,73.79,70.91,73.59,72.12,14636423.0
2022-07-29,73.33,74.79,73.02,73.83,72.35,22327127.0
2022-08-01,73.69,74.58,71.51,71.76,70.32,12281926.0
2022-08-02,72.0,72.27,69.51,70.09,68.69,16796397.0
2022-08-03,70.33,71.29,70.01,70.83,69.41,13393438.0
2022-08-04,71.0,71.98,68.45,69.76,68.35,10035391.0
2022-08-05,69.41,71.4,69.08,69.93,68.52,12783154.0
2022-08-08,70.3,72.13,70.15,71.04,69.61,13575166.0
2022-08-09,70.66,71.48,70.12,71.16,69.73,12475000.0
2022-08-10,71.5,72.58,71.12,71.5,70.06,12419429.0
2022-08-11,71.51,72.19,70.66,71.73,70.28,12876640.0
2022-08-12,71.83,72.8,71.61,71.77,70.33,7393480.0
2022-08-15,71.98,72.63,71.41,71.57,70.13,5655739.0
2022-08-16,71.73,72.54,70.86,71.95,70.51,12259988.0
2022-08-17,71.95,72.95,71.51,72.8,71.34,6070908.0
2022-08-18,72.75,73.09,72.19,72.87,71.4,9332089.0
2022-08-19,72.82,73.16,71.2,71.41,69.98,7653330.0
2022-08-22,71.22,72.05,69.9,70.08,68.68,9132301.0
2022-08-23,70.54,71.19,70.01,71.01,69.58,10587717.0
2022-08-24,70.83,70.98,69.33,69.52,68.13,8207649.0
2022-08-25,69.52,70.16,69.19,69.66,68.26,7186733.0
2022-08-26,69.02,69.3,68.52,68.69,67.3,1819159.0
2022-08-29,68.61,69.48,67.91,68.54,67.16,10291204.0
2022-08-30,68.66,68.76,66.68,67.41,66.05,11003092.0
2022-08-31,67.57,67.84,64.8,65.83,64.51,31046366.0
2022-09-01,65.97,70.19,65.87,69.69,68.29,20187437.0
2022-09-02,69.98,70.68,69.01,69.36,67.96,9506506.0
2022-09-05,69.37,70.98,69.01,70.48,69.06,1087843.0
2022-09-06,70.5,70.84,69.41,70.57,69.15,12597502.0
2022-09-07,70.4,71.63,70.2,70.93,69.5,10360789.0
2022-09-08,71.0,73.48,70.8,73.13,71.66,13041260.0
2022-09-09,73.19,74.25,72.8,74.01,72.53,9810151.0
2022-09-12,74.29,75.26,73.7,75.01,73.51,18027049.0
2022-09-13,74.61,75.54,73.3,74.07,72.58,24277946.0
2022-09-14,74.0,75.01,72.91,73.05,71.59,11847384.0
2022-09-15,73.12,73.43,71.05,73.16,71.68,50311656.0
2022-09-19,73.0,73.68,71.38,73.37,71.89,14726435.0
2022-09-20,73.69,76.44,73.26,76.09,74.56,21798846.0
2022-09-21,76.19,77.23,75.8,76.18,74.64,19615347.0
2022-09-22,75.86,76.5,74.36,74.73,73.22,11303105.0
2022-09-23,74.86,74.86,73.0,73.32,71.84,7739076.0
2022-09-26,73.47,73.76,72.19,72.5,71.04,7268329.0
2022-09-27,72.69,73.3,72.23,72.65,71.18,11058146.0
2022-09-28,72.88,73.84,72.01,72.4,70.94,15978177.0
2022-09-29,72.5,73.8,71.8,72.98,71.51,11552811.0
2022-09-30,72.94,73.52,70.59,70.73,69.3,13644451.0
2022-10-03,71.05,72.04,70.11,71.44,70.01,10797990.0
2022-10-04,71.58,72.69,71.01,71.8,70.35,8773692.0
2022-10-05,71.61,73.27,71.11,72.62,71.15,9462766.0
2022-10-06,72.98,74.12,72.23,73.26,71.79,11422488.0
2022-10-07,73.3,73.3,71.75,72.0,70.55,8229834.0
2022-10-10,71.87,73.33,71.87,72.73,71.27,5386129.0
2022-10-11,72.61,73.69,71.8,73.48,72.01,13066345.0
2022-10-12,73.12,75.36,73.07,73.51,72.03,16771055.0
2022-10-13,73.2,74.73,72.41,72.65,71.18,14323136.0
2022-10-14,72.88,73.66,71.32,71.59,70.16,11488190.0
2022-10-17,71.84,72.19,70.8,71.04,69.61,13727345.0
2022-10-18,71.48,72.05,71.12,71.5,70.06,20296115.0
2022-10-19,71.44,71.83,70.7,71.18,69.74,13842961.0
2022-10-20,71.47,73.29,70.51,73.07,71.6,20259907.0
2022-10-21,73.0,75.09,71.44,74.75,73.24,20957087.0
2022-10-24,74.61,75.13,74.26,74.8,73.3,19573163.0
2022-10-25,74.69,75.73,74.41,75.48,73.96,26081397.0
2022-10-26,75.5,77.44,75.48,76.73,75.19,19851660.0
2022-10-27,77.0,78.34,75.75,75.91,74.38,18979648.0
2022-10-28,75.91,76.43,74.94,75.33,73.82,4866634.0
2022-10-31,75.55,77.02,75.23,76.54,75.0,10677594.0
2022-11-01,76.65,79.15,76.65,78.72,77.13,11700847.0
2022-11-03,78.5,78.5,74.26,77.58,76.02,17418201.0
2022-11-04,77.63,78.98,76.01,76.77,75.23,14366722.0
2022-11-07,76.59,77.48,75.54,75.87,74.34,14416226.0
2022-11-08,76.19,76.91,75.02,75.55,74.03,14828587.0
2022-11-09,75.11,76.19,73.82,73.9,72.41,15108876.0
2022-11-10,74.5,74.76,73.25,73.4,71.92,17392528.0
2022-11-11,73.4,73.4,72.16,72.69,71.22,18620196.0
2022-11-14,72.73,73.16,72.11,72.12,70.66,15976635.0
2022-11-15,72.43,72.88,70.55,71.82,70.37,19224442.0
2022-11-16,71.73,73.01,71.01,72.97,71.5,16519600.0
2022-11-17,72.08,72.73,71.76,71.9,71.14,9667396.0
2022-11-18,72.0,72.54,70.51,71.25,70.5,8909486.0
2022-11-22,71.32,74.93,71.11,74.58,73.79,29432008.0
2022-11-23,74.32,75.9,74.3,75.23,74.44,11517218.0
2022-11-24,74.94,75.22,73.98,74.8,74.01,2204277.0
2022-11-25,74.25,75.5,73.52,74.32,73.54,6715360.0
2022-11-28,74.93,75.8,74.66,75.19,74.41,9893372.0
2022-11-29,74.8,75.73,71.98,72.5,71.74,15325082.0
2022-11-30,72.38,77.44,72.38,76.25,75.45,38981075.0
2022-12-01,76.4,76.66,72.55,73.32,72.55,21659892.0
2022-12-02,72.91,75.58,72.62,74.98,74.2,12492660.0
2022-12-05,74.82,74.9,72.76,72.76,72.0,5278380.0
2022-12-06,73.38,75.0,72.41,73.27,72.51,8873146.0
2022-12-07,73.87,74.23,72.5,72.5,71.74,7857193.0
2022-12-08,72.87,73.57,72.55,72.59,71.83,16874963.0
2022-12-09,72.9,72.9,70.59,70.59,69.86,15280294.0
2022-12-13,71.13,71.23,68.5,68.87,68.14,37192897.0
2022-12-14,69.09,69.54,68.51,69.12,68.39,20209851.0
2022-12-15,69.12,70.34,68.55,68.69,67.97,26335359.0
2022-12-16,68.84,70.79,68.2,70.59,69.86,25724907.0
2022-12-19,70.69,71.41,70.4,71.08,70.34,6411786.0
2022-12-20,71.33,73.48,71.12,71.98,71.23,8061597.0
2022-12-21,72.09,72.91,71.41,72.4,71.64,5244104.0
2022-12-22,72.69,72.95,71.9,72.65,71.88,6141604.0
2022-12-23,72.09,72.5,71.2,71.98,71.22,7439562.0
2022-12-26,71.44,71.52,71.0,71.09,70.35,444593.0
2022-12-27,71.37,71.82,70.91,71.02,70.28,3352276.0
2022-12-28,70.91,71.54,69.91,70.0,69.26,4871798.0
2022-12-29,70.83,70.83,69.12,69.87,69.13,5026928.0
2022-12-30,69.69,70.19,68.22,68.87,68.15,7114822.0
2023-01-02,68.58,69.87,68.41,69.15,68.42,1134933.0
2023-01-03,69.01,70.02,68.8,69.25,68.52,4738324.0
2023-01-04,69.15,70.88,68.73,70.48,69.75,8848076.0
2023-01-05,70.55,71.08,69.94,70.41,69.67,11016329.0
2023-01-06,70.43,72.9,70.22,72.44,71.69,5278309.0
2023-01-09,72.3,72.94,71.02,72.37,71.61,5688171.0
2023-01-10,72.37,73.18,72.07,72.43,71.67,8241800.0
2023-01-11,72.37,73.5,71.8,72.72,71.95,10338782.0
2023-01-12,72.8,73.48,72.2,73.0,72.23,13415053.0
2023-01-13,72.9,74.0,72.68,73.3,72.53,9350716.0
2023-01-16,73.52,73.58,71.41,71.91,71.15,5448295.0
2023-01-17,71.8,73.22,71.52,71.76,71.01,14871779.0
2023-01-18,71.84,72.33,71.52,71.76,71.0,14115164.0
2023-01-19,71.66,72.98,71.59,72.8,72.03,16593638.0
2023-01-20,72.9,74.13,72.62,73.91,73.13,6164426.0
2023-01-23,73.61,74.98,72.5,74.54,73.75,11764446.0
2023-01-24,74.54,75.69,74.3,75.3,74.51,18226387.0
2023-01-25,75.32,76.15,74.16,76.15,75.35,9529630.0
2023-01-26,75.76,76.4,75.51,75.94,75.14,10678484.0
2023-01-27,75.94,76.41,75.0,75.4,74.6,13134508.0
2023-01-30,75.34,76.04,74.94,75.58,74.78,11170454.0
2023-01-31,75.44,75.58,73.3,73.55,72.77,20776810.0
2023-02-01,73.91,75.61,73.91,74.87,74.09,9524892.0
2023-02-02,74.82,75.04,72.34,72.9,72.13,9364405.0
2023-02-03,72.63,73.94,72.51,72.83,72.07,11988258.0
2023-02-07,73.05,73.08,71.22,72.38,71.63,15143850.0
2023-02-08,72.3,72.48,71.3,71.98,71.23,10802574.0
2023-02-09,72.22,72.54,70.5,71.19,70.45,11425507.0
2023-02-10,71.63,71.93,70.58,71.12,70.38,11158299.0
2023-02-13,71.43,71.73,71.0,71.4,70.65,10238198.0
2023-02-14,71.5,71.83,70.18,70.7,69.96,15600213.0
2023-02-15,70.93,71.73,70.41,71.44,70.69,15056248.0
2023-02-16,71.73,72.33,70.54,71.23,70.49,8618091.0
2023-02-17,71.23,71.41,70.01,70.7,69.96,14022935.0
2023-02-20,70.97,71.19,70.3,70.4,69.66,1154792.0
2023-02-21,70.55,70.87,70.07,70.09,69.36,10716983.0
2023-02-22,70.12,72.23,70.12,72.15,71.39,11522574.0
2023-02-23,71.94,71.94,70.66,70.84,70.1,10943337.0
2023-02-24,70.7,71.18,70.01,70.9,70.15,8509049.0
2023-02-27,70.51,72.44,70.51,71.88,71.13,6477084.0
2023-02-28,71.7,72.25,71.3,72.09,71.34,35606229.0
2023-03-01,71.87,72.33,70.61,71.12,70.38,13897213.0
2023-03-02,71.44,72.23,70.94,71.25,70.5,9942498.0
2023-03-03,71.43,72.83,71.2,72.38,71.63,10296809.0
2023-03-06,72.37,73.69,72.11,73.01,72.25,6933090.0
2023-03-07,73.01,73.33,72.3,72.51,71.75,11265288.0
2023-03-08,72.48,73.13,72.26,72.5,71.74,8476440.0
2023-03-09,72.23,72.73,71.66,72.04,71.28,13046022.0
2023-03-10,71.9,72.73,71.11,71.9,71.14,12281926.0
2023-03-13,73.5,74.77,72.2,74.01,73.24,12539842.0
2023-03-14,73.66,74.62,73.3,73.69,72.91,11130456.0
2023-03-15,73.47,75.08,72.41,74.23,73.45,8836642.0
2023-03-16,74.69,74.9,73.11,73.51,72.74,12718176.0
2023-03-17,73.3,73.93,71.15,71.19,70.45,44649834.0
2023-03-21,71.38,72.69,71.3,72.33,71.58,13883829.0
2023-03-22,72.51,73.94,72.37,72.52,71.76,10792489.0
2023-03-23,72.87,73.0,71.98,72.48,71.72,8914744.0
2023-03-24,72.16,73.9,72.0,73.0,72.23,10593708.0
2023-03-27,72.61,74.01,72.61,73.33,72.56,12836000.0
2023-03-28,73.58,74.23,73.2,73.9,73.12,14648314.0
2023-03-29,74.12,74.12,72.73,73.2,72.44,12748044.0
2023-03-30,73.38,74.18,73.26,73.4,72.63,10242466.0
2023-03-31,73.59,74.38,71.69,72.0,71.24,23753580.0
2023-04-03,72.12,72.88,72.07,72.3,71.54,5898108.0
2023-04-04,72.59,72.59,71.37,71.57,70.82,7672987.0
2023-04-05,71.41,71.51,70.15,70.43,70.43,6026231.0
2023-04-10,70.19,70.79,70.0,70.62,70.62,9098375.0
2023-04-11,70.87,71.98,70.79,71.2,71.2,13249491.0
2023-04-12,71.04,71.54,70.72,71.2,71.2,11316915.0
2023-04-13,71.19,71.19,70.4,70.65,70.65,12726973.0
2023-04-14,70.77,71.23,70.34,70.63,70.63,10561833.0
2023-04-17,70.51,70.69,70.05,70.32,70.32,10616874.0
2023-04-18,70.44,70.94,69.84,70.16,70.16,15568665.0
2023-04-19,70.22,70.63,69.83,70.0,70.0,15574112.0
2023-04-20,70.0,70.79,69.93,70.54,70.54,12529659.0
2023-04-21,70.93,71.3,70.01,71.13,71.13,12153207.0
2023-04-24,71.27,72.09,71.0,71.8,71.8,14031371.0
2023-04-25,71.51,72.59,71.51,72.59,72.59,8294405.0
2023-04-26,72.5,72.5,71.41,72.07,72.07,22868601.0
2023-04-27,72.0,72.04,70.69,71.91,71.91,18831398.0
2023-04-28,72.36,72.58,71.7,72.47,72.47,21071144.0
2023-05-02,72.4,72.65,71.59,72.25,72.25,21893461.0
2023-05-03,72.32,72.83,71.72,71.91,71.91,14106852.0
2023-05-04,71.9,72.3,71.4,71.8,71.8,11376487.0
2023-05-05,71.76,72.98,71.76,72.44,72.44,14405266.0
2023-05-08,72.3,72.94,72.3,72.66,72.66,6308451.0
2023-05-09,72.69,73.88,72.48,73.58,73.58,15539551.0
2023-05-10,73.58,75.29,73.55,74.87,74.87,14874492.0
2023-05-11,74.98,74.98,73.51,74.16,74.16,14549896.0
2023-05-12,74.27,74.27,73.01,74.07,74.07,12351836.0
2023-05-15,74.09,74.11,72.59,72.65,72.65,12603001.0
2023-05-16,72.87,73.54,72.7,72.77,72.77,10532236.0
2023-05-17,73.19,73.19,71.72,72.27,72.27,17209736.0
2023-05-18,72.3,72.51,71.7,72.01,72.01,17938176.0
2023-05-19,72.29,73.34,71.86,72.16,72.16,9163370.0
2023-05-22,72.0,72.59,70.41,70.41,70.41,15184624.0
2023-05-23,70.88,71.62,70.12,71.29,71.29,12489008.0
2023-05-24,72.0,72.0,70.2,70.51,70.51,16598087.0
2023-05-25,70.5,70.73,69.84,70.0,70.0,20357863.0
2023-05-26,70.15,70.3,68.23,68.69,68.69,21566575.0
2023-05-29,68.55,69.33,68.25,68.83,68.83,2354002.0
2023-05-30,69.18,69.19,67.8,68.27,68.27,34225619.0
2023-05-31,68.37,68.55,66.7,67.29,67.29,83031299.0
2023-06-01,67.22,67.93,66.44,66.66,66.66,15770860.0
2023-06-02,66.69,67.58,66.23,67.23,67.23,14577667.0
2023-06-05,67.38,69.37,67.32,69.22,69.22,12755206.0
2023-06-06,69.32,69.79,69.01,69.51,69.51,21861145.0
2023-06-07,69.82,69.94,69.2,69.51,69.51,22646251.0
2023-06-08,69.51,69.51,67.51,68.22,68.22,18571143.0
2023-06-09,68.33,68.98,67.12,67.43,67.43,14246991.0
2023-06-12,67.47,67.87,66.91,66.98,66.98,17191119.0
2023-06-13,67.3,67.3,66.0,66.72,66.72,17140119.0
2023-06-14,66.98,68.73,66.63,68.48,68.48,64619124.0
2023-06-15,68.69,70.13,67.62,69.98,69.98,25429058.0
2023-06-16,70.13,70.19,67.8,68.18,68.18,52073668.0
2023-06-19,68.38,69.2,68.32,69.05,69.05,1973893.0
2023-06-20,69.0,69.02,67.12,67.57,67.57,17200011.0
2023-06-21,67.9,68.63,66.87,68.59,68.59,18698917.0
2023-06-22,68.19,68.79,67.72,67.73,67.73,10192686.0
2023-06-23,68.08,68.22,67.41,67.63,67.63,13546744.0
2023-06-26,67.72,68.94,67.55,68.37,68.37,12024363.0
2023-06-27,68.2,69.9,68.11,69.79,69.79,14891285.0
2023-06-28,69.41,69.69,68.08,68.5,68.5,12828559.0
2023-06-29,68.5,68.65,67.73,68.12,68.12,11047919.0
2023-06-30,68.38,68.44,67.26,67.88,67.88,19204350.0
